category_path,prices,stock,active,variants,tags,avg_rating,images,legacy
"[""Clothing"", ""Men"", ""Jeans""]","[{""country"": ""DE"", ""currency"": ""USD"", ""amount"": 28.61, ""vat_rate"": 23}]","{""total"": 60, ""reserved"": 2, ""warehouses"": {""WARSAW"": 30, ""NY"": 30}}",1,"[{""sku"": ""BET-0010-0"", ""color"": ""Navy"", ""size"": ""XS"", ""stock"": 98}, {""sku"": ""BET-0010-1"", ""color"": ""Blue"", ""size"": ""S"", ""stock"": 85}, {""sku"": ""BET-0010-2"", ""color"": ""Navy"", ""size"": ""XL"", ""stock"": 22}]","[""jeans"", ""Jeans"", ""JEANS"", ""fashion""]",4.93,"[""https://beta-fashion.com/images/product-10-1.jpg"", ""https://beta-fashion.com/images/product-10-2.jpg""]",0
"[""Clothing"", ""Unisex"", ""Sneakers""]","[{""country"": ""PL"", ""currency"": ""EUR"", ""amount"": 88.25, ""vat_rate"": 23}]","{""total"": 352, ""reserved"": 47, ""warehouses"": {""WARSAW"": 176, ""NY"": 176}}",0,"[{""sku"": ""BET-0011-0"", ""color"": ""Navy"", ""size"": ""XS"", ""stock"": 32}, {""sku"": ""BET-0011-1"", ""color"": ""Grey"", ""size"": ""XS"", ""stock"": 44}]","[""sneakers"", ""Sneakers"", ""SNEAKERS"", ""sale""]",4.18,"[""https://beta-fashion.com/images/product-11-1.jpg"", ""https://beta-fashion.com/images/product-11-2.jpg""]",0
"[""Clothing"", ""Men"", ""Hoodies""]","[{""country"": ""US"", ""currency"": ""EUR"", ""amount"": 163.31, ""vat_rate"": 0}]","{""total"": 54, ""reserved"": 0, ""warehouses"": {""WARSAW"": 27, ""NY"": 27}}",0,"[{""sku"": ""BET-0012-0"", ""color"": ""White"", ""size"": ""XL"", ""stock"": 31}, {""sku"": ""BET-0012-1"", ""color"": ""Red"", ""size"": ""XXL"", ""stock"": 63}]","[""hoodies"", ""Hoodies"", ""HOODIES"", ""new""]",4.45,"[""https://beta-fashion.com/images/product-12-1.jpg"", ""https://beta-fashion.com/images/product-12-2.jpg""]",0
"[""Clothing"", ""Kids"", ""T-Shirts""]","[{""country"": ""PL"", ""currency"": ""PLN"", ""amount"": 204.76, ""vat_rate"": 0}]","{""total"": 68, ""reserved"": 3, ""warehouses"": {""WARSAW"": 34, ""NY"": 34}}",0,"[{""sku"": ""BET-0013-0"", ""color"": ""Brown"", ""size"": ""M"", ""stock"": 55}, {""sku"": ""BET-0013-1"", ""color"": ""Brown"", ""size"": ""L"", ""stock"": 94}, {""sku"": ""BET-0013-2"", ""color"": ""Black"", ""size"": ""XXL"", ""stock"": 84}]","[""t-shirts"", ""T-shirts"", ""T-SHIRTS"", ""sale""]",3.81,"[""https://beta-fashion.com/images/product-13-1.jpg"", ""https://beta-fashion.com/images/product-13-2.jpg""]",0
"[""Clothing"", ""Men"", ""Jeans""]","[{""country"": ""US"", ""currency"": ""USD"", ""amount"": 60.02, ""vat_rate"": 23}]","{""total"": 249, ""reserved"": 8, ""warehouses"": {""WARSAW"": 124, ""NY"": 125}}",0,"[{""sku"": ""BET-0014-0"", ""color"": ""Blue"", ""size"": ""M"", ""stock"": 60}, {""sku"": ""BET-0014-1"", ""color"": ""Grey"", ""size"": ""XS"", ""stock"": 57}]","[""jeans"", ""Jeans"", ""JEANS"", ""sale""]",4.3,"[""https://beta-fashion.com/images/product-14-1.jpg"", ""https://beta-fashion.com/images/product-14-2.jpg""]",0
"[""Clothing"", ""Unisex"", ""Sneakers""]","[{""country"": ""US"", ""currency"": ""USD"", ""amount"": 232.7, ""vat_rate"": 0}]","{""total"": 105, ""reserved"": 13, ""warehouses"": {""WARSAW"": 52, ""NY"": 53}}",1,"[{""sku"": ""BET-0015-0"", ""color"": ""Navy"", ""size"": ""S"", ""stock"": 52}, {""sku"": ""BET-0015-1"", ""color"": ""Black"", ""size"": ""S"", ""stock"": 49}]","[""sneakers"", ""Sneakers"", ""SNEAKERS"", ""sale""]",3.53,"[""https://beta-fashion.com/images/product-15-1.jpg"", ""https://beta-fashion.com/images/product-15-2.jpg""]",0
"[""Clothing"", ""Kids"", ""T-Shirts""]","[{""country"": ""DE"", ""currency"": ""PLN"", ""amount"": 178.7, ""vat_rate"": 23}]","{""total"": 421, ""reserved"": 71, ""warehouses"": {""WARSAW"": 210, ""NY"": 211}}",0,"[{""sku"": ""BET-0016-0"", ""color"": ""Navy"", ""size"": ""S"", ""stock"": 25}, {""sku"": ""BET-0016-1"", ""color"": ""Red"", ""size"": ""S"", ""stock"": 8}, {""sku"": ""BET-0016-2"", ""color"": ""Black"", ""size"": ""XXL"", ""stock"": 41}]","[""t-shirts"", ""T-shirts"", ""T-SHIRTS"", ""sale""]",4.17,"[""https://beta-fashion.com/images/product-16-1.jpg"", ""https://beta-fashion.com/images/product-16-2.jpg""]",0
"[""Clothing"", ""Unisex"", ""Sneakers""]","[{""country"": ""PL"", ""currency"": ""USD"", ""amount"": 240.78, ""vat_rate"": 0}]","{""total"": 455, ""reserved"": 23, ""warehouses"": {""WARSAW"": 227, ""NY"": 228}}",0,"[{""sku"": ""BET-0017-0"", ""color"": ""White"", ""size"": ""XXL"", ""stock"": 31}]","[""sneakers"", ""Sneakers"", ""SNEAKERS"", ""casual""]",4.88,"[""https://beta-fashion.com/images/product-17-1.jpg"", ""https://beta-fashion.com/images/product-17-2.jpg""]",1
"[""Clothing"", ""Women"", ""Tops""]","[{""country"": ""US"", ""currency"": ""EUR"", ""amount"": 34.27, ""vat_rate"": 23}]","{""total"": 318, ""reserved"": 72, ""warehouses"": {""WARSAW"": 159, ""NY"": 159}}",1,"[{""sku"": ""BET-0018-0"", ""color"": ""Green"", ""size"": ""M"", ""stock"": 27}, {""sku"": ""BET-0018-1"", ""color"": ""Green"", ""size"": ""S"", ""stock"": 34}, {""sku"": ""BET-0018-2"", ""color"": ""Brown"", ""size"": ""S"", ""stock"": 86}]","[""tops"", ""Tops"", ""TOPS"", ""fashion""]",3.63,"[""https://beta-fashion.com/images/product-18-1.jpg"", ""https://beta-fashion.com/images/product-18-2.jpg""]",0
"[""Clothing"", ""Women"", ""Dresses""]","[{""country"": ""US"", ""currency"": ""PLN"", ""amount"": 160.97, ""vat_rate"": 23}]","{""total"": 71, ""reserved"": 2, ""warehouses"": {""WARSAW"": 35, ""NY"": 36}}",1,"[{""sku"": ""BET-0019-0"", ""color"": ""Grey"", ""size"": ""XL"", ""stock"": 34}, {""sku"": ""BET-0019-1"", ""color"": ""Blue"", ""size"": ""M"", ""stock"": 9}, {""sku"": ""BET-0019-2"", ""color"": ""Grey"", ""size"": ""M"", ""stock"": 37}]","[""dresses"", ""Dresses"", ""DRESSES"", ""new""]",4.67,"[""https://beta-fashion.com/images/product-19-1.jpg"", ""https://beta-fashion.com/images/product-19-2.jpg""]",0
"[""Clothing"", ""Accessories"", ""Caps""]","[{""country"": ""US"", ""currency"": ""EUR"", ""amount"": 207.02, ""vat_rate"": 19}]","{""total"": 497, ""reserved"": 13, ""warehouses"": {""WARSAW"": 248, ""NY"": 249}}",1,"[{""sku"": ""BET-0020-0"", ""color"": ""Red"", ""size"": ""XS"", ""stock"": 14}]","[""caps"", ""Caps"", ""CAPS"", ""new""]",3.56,"[""https://beta-fashion.com/images/product-20-1.jpg"", ""https://beta-fashion.com/images/product-20-2.jpg""]",0
"[""Clothing"", ""Women"", ""Tops""]","[{""country"": ""DE"", ""currency"": ""USD"", ""amount"": 176.56, ""vat_rate"": 19}]","{""total"": 278, ""reserved"": 62, ""warehouses"": {""WARSAW"": 139, ""NY"": 139}}",1,"[{""sku"": ""BET-0021-0"", ""color"": ""Black"", ""size"": ""XS"", ""stock"": 82}, {""sku"": ""BET-0021-1"", ""color"": ""Brown"", ""size"": ""M"", ""stock"": 6}]","[""tops"", ""Tops"", ""TOPS"", ""sale""]",4.54,"[""https://beta-fashion.com/images/product-21-1.jpg"", ""https://beta-fashion.com/images/product-21-2.jpg""]",0
"[""Clothing"", ""Accessories"", ""Caps""]","[{""country"": ""PL"", ""currency"": ""EUR"", ""amount"": 118.83, ""vat_rate"": 23}]","{""total"": 238, ""reserved"": 35, ""warehouses"": {""WARSAW"": 119, ""NY"": 119}}",0,"[{""sku"": ""BET-0022-0"", ""color"": ""White"", ""size"": ""XS"", ""stock"": 89}]","[""caps"", ""Caps"", ""CAPS"", ""new""]",4.67,"[""https://beta-fashion.com/images/product-22-1.jpg"", ""https://beta-fashion.com/images/product-22-2.jpg""]",0
"[""Clothing"", ""Unisex"", ""Sneakers""]","[{""country"": ""PL"", ""currency"": ""PLN"", ""amount"": 44.95, ""vat_rate"": 19}]","{""total"": 206, ""reserved"": 50, ""warehouses"": {""WARSAW"": 103, ""NY"": 103}}",0,"[{""sku"": ""BET-0023-0"", ""color"": ""Green"", ""size"": ""S"", ""stock"": 88}]","[""sneakers"", ""Sneakers"", ""SNEAKERS"", ""new""]",3.71,"[""https://beta-fashion.com/images/product-23-1.jpg"", ""https://beta-fashion.com/images/product-23-2.jpg""]",0
"[""Clothing"", ""Unisex"", ""Sneakers""]","[{""country"": ""FR"", ""currency"": ""EUR"", ""amount"": 191.13, ""vat_rate"": 0}]","{""total"": 462, ""reserved"": 20, ""warehouses"": {""WARSAW"": 231, ""NY"": 231}}",1,"[{""sku"": ""BET-0024-0"", ""color"": ""Brown"", ""size"": ""XS"", ""stock"": 23}]","[""sneakers"", ""Sneakers"", ""SNEAKERS"", ""fashion""]",4.6,"[""https://beta-fashion.com/images/product-24-1.jpg"", ""https://beta-fashion.com/images/product-24-2.jpg""]",0
"[""Clothing"", ""Women"", ""Tops""]","[{""country"": ""DE"", ""currency"": ""USD"", ""amount"": 200.03, ""vat_rate"": 0}]","{""total"": 215, ""reserved"": 2, ""warehouses"": {""WARSAW"": 107, ""NY"": 108}}",0,"[{""sku"": ""BET-0025-0"", ""color"": ""Grey"", ""size"": ""S"", ""stock"": 59}, {""sku"": ""BET-0025-1"", ""color"": ""Green"", ""size"": ""M"", ""stock"": 30}]","[""tops"", ""Tops"", ""TOPS"", ""new""]",4.32,"[""https://beta-fashion.com/images/product-25-1.jpg"", ""https://beta-fashion.com/images/product-25-2.jpg""]",0
"[""Clothing"", ""Women"", ""Sweaters""]","[{""country"": ""DE"", ""currency"": ""PLN"", ""amount"": 218.12, ""vat_rate"": 19}]","{""total"": 199, ""reserved"": 41, ""warehouses"": {""WARSAW"": 99, ""NY"": 100}}",0,"[{""sku"": ""BET-0026-0"", ""color"": ""Brown"", ""size"": ""XXL"", ""stock"": 69}, {""sku"": ""BET-0026-1"", ""color"": ""Green"", ""size"": ""XS"", ""stock"": 15}, {""sku"": ""BET-0026-2"", ""color"": ""Red"", ""size"": ""S"", ""stock"": 75}]","[""sweaters"", ""Sweaters"", ""SWEATERS"", ""fashion""]",3.22,"[""https://beta-fashion.com/images/product-26-1.jpg"", ""https://beta-fashion.com/images/product-26-2.jpg""]",0
"[""Clothing"", ""Women"", ""Sweaters""]","[{""country"": ""DE"", ""currency"": ""EUR"", ""amount"": 199.81, ""vat_rate"": 19}]","{""total"": 330, ""reserved"": 65, ""warehouses"": {""WARSAW"": 165, ""NY"": 165}}",0,"[{""sku"": ""BET-0027-0"", ""color"": ""Brown"", ""size"": ""XL"", ""stock"": 25}]","[""sweaters"", ""Sweaters"", ""SWEATERS"", ""fashion""]",4.42,"[""https://beta-fashion.com/images/product-27-1.jpg"", ""https://beta-fashion.com/images/product-27-2.jpg""]",1
"[""Clothing"", ""Men"", ""Hoodies""]","[{""country"": ""PL"", ""currency"": ""PLN"", ""amount"": 116.35, ""vat_rate"": 23}]","{""total"": 491, ""reserved"": 42, ""warehouses"": {""WARSAW"": 245, ""NY"": 246}}",0,"[{""sku"": ""BET-0028-0"", ""color"": ""Green"", ""size"": ""XXL"", ""stock"": 16}, {""sku"": ""BET-0028-1"", ""color"": ""Red"", ""size"": ""XL"", ""stock"": 40}, {""sku"": ""BET-0028-2"", ""color"": ""Brown"", ""size"": ""M"", ""stock"": 52}]","[""hoodies"", ""Hoodies"", ""HOODIES"", ""fashion""]",3.38,"[""https://beta-fashion.com/images/product-28-1.jpg"", ""https://beta-fashion.com/images/product-28-2.jpg""]",0
"[""Clothing"", ""Women"", ""Sweaters""]","[{""country"": ""PL"", ""currency"": ""EUR"", ""amount"": 148.74, ""vat_rate"": 19}]","{""total"": 300, ""reserved"": 0, ""warehouses"": {""WARSAW"": 150, ""NY"": 150}}",0,"[{""sku"": ""BET-0029-0"", ""color"": ""Red"", ""size"": ""S"", ""stock"": 56}, {""sku"": ""BET-0029-1"", ""color"": ""Green"", ""size"": ""L"", ""stock"": 57}]","[""sweaters"", ""Sweaters"", ""SWEATERS"", ""casual""]",4.02,"[""https://beta-fashion.com/images/product-29-1.jpg"", ""https://beta-fashion.com/images/product-29-2.jpg""]",1
"[""Clothing"", ""Men"", ""Jackets""]","[{""country"": ""US"", ""currency"": ""PLN"", ""amount"": 136.13, ""vat_rate"": 23}]","{""total"": 337, ""reserved"": 42, ""warehouses"": {""WARSAW"": 168, ""NY"": 169}}",0,"[{""sku"": ""BET-0030-0"", ""color"": ""Grey"", ""size"": ""XXL"", ""stock"": 40}]","[""jackets"", ""Jackets"", ""JACKETS"", ""new""]",3.29,"[""https://beta-fashion.com/images/product-30-1.jpg"", ""https://beta-fashion.com/images/product-30-2.jpg""]",0
"[""Clothing"", ""Men"", ""Hoodies""]","[{""country"": ""PL"", ""currency"": ""PLN"", ""amount"": 158.65, ""vat_rate"": 0}]","{""total"": 253, ""reserved"": 53, ""warehouses"": {""WARSAW"": 126, ""NY"": 127}}",0,"[{""sku"": ""BET-0031-0"", ""color"": ""Grey"", ""size"": ""XXL"", ""stock"": 90}, {""sku"": ""BET-0031-1"", ""color"": ""Brown"", ""size"": ""L"", ""stock"": 52}, {""sku"": ""BET-0031-2"", ""color"": ""Grey"", ""size"": ""S"", ""stock"": 84}]","[""hoodies"", ""Hoodies"", ""HOODIES"", ""sale""]",4.56,"[""https://beta-fashion.com/images/product-31-1.jpg"", ""https://beta-fashion.com/images/product-31-2.jpg""]",0
"[""Clothing"", ""Women"", ""Tops""]","[{""country"": ""PL"", ""currency"": ""EUR"", ""amount"": 136.72, ""vat_rate"": 0}]","{""total"": 305, ""reserved"": 31, ""warehouses"": {""WARSAW"": 152, ""NY"": 153}}",1,"[{""sku"": ""BET-0032-0"", ""color"": ""Navy"", ""size"": ""S"", ""stock"": 60}]","[""tops"", ""Tops"", ""TOPS"", ""fashion""]",4.23,"[""https://beta-fashion.com/images/product-32-1.jpg"", ""https://beta-fashion.com/images/product-32-2.jpg""]",0
"[""Clothing"", ""Unisex"", ""Sneakers""]","[{""country"": ""FR"", ""currency"": ""EUR"", ""amount"": 119.79, ""vat_rate"": 0}]","{""total"": 400, ""reserved"": 60, ""warehouses"": {""WARSAW"": 200, ""NY"": 200}}",1,"[{""sku"": ""BET-0033-0"", ""color"": ""Red"", ""size"": ""S"", ""stock"": 82}, {""sku"": ""BET-0033-1"", ""color"": ""Red"", ""size"": ""XL"", ""stock"": 63}]","[""sneakers"", ""Sneakers"", ""SNEAKERS"", ""new""]",3.88,"[""https://beta-fashion.com/images/product-33-1.jpg"", ""https://beta-fashion.com/images/product-33-2.jpg""]",0
"[""Clothing"", ""Accessories"", ""Caps""]","[{""country"": ""PL"", ""currency"": ""PLN"", ""amount"": 93.92, ""vat_rate"": 23}]","{""total"": 61, ""reserved"": 4, ""warehouses"": {""WARSAW"": 30, ""NY"": 31}}",0,"[{""sku"": ""BET-0034-0"", ""color"": ""Grey"", ""size"": ""L"", ""stock"": 89}]","[""caps"", ""Caps"", ""CAPS"", ""new""]",3.13,"[""https://beta-fashion.com/images/product-34-1.jpg"", ""https://beta-fashion.com/images/product-34-2.jpg""]",0
"[""Clothing"", ""Women"", ""Sweaters""]","[{""country"": ""DE"", ""currency"": ""EUR"", ""amount"": 124.49, ""vat_rate"": 0}]","{""total"": 125, ""reserved"": 26, ""warehouses"": {""WARSAW"": 62, ""NY"": 63}}",1,"[{""sku"": ""BET-0035-0"", ""color"": ""Black"", ""size"": ""XL"", ""stock"": 49}, {""sku"": ""BET-0035-1"", ""color"": ""Navy"", ""size"": ""XS"", ""stock"": 46}]","[""sweaters"", ""Sweaters"", ""SWEATERS"", ""fashion""]",4.71,"[""https://beta-fashion.com/images/product-35-1.jpg"", ""https://beta-fashion.com/images/product-35-2.jpg""]",0
"[""Clothing"", ""Women"", ""Sweaters""]","[{""country"": ""PL"", ""currency"": ""PLN"", ""amount"": 66.56, ""vat_rate"": 19}]","{""total"": 268, ""reserved"": 3, ""warehouses"": {""WARSAW"": 134, ""NY"": 134}}",0,"[{""sku"": ""BET-0036-0"", ""color"": ""Green"", ""size"": ""XXL"", ""stock"": 87}, {""sku"": ""BET-0036-1"", ""color"": ""Brown"", ""size"": ""XXL"", ""stock"": 22}]","[""sweaters"", ""Sweaters"", ""SWEATERS"", ""casual""]",4.96,"[""https://beta-fashion.com/images/product-36-1.jpg"", ""https://beta-fashion.com/images/product-36-2.jpg""]",0
"[""Clothing"", ""Unisex"", ""Sneakers""]","[{""country"": ""US"", ""currency"": ""PLN"", ""amount"": 154.09, ""vat_rate"": 23}]","{""total"": 33, ""reserved"": 1, ""warehouses"": {""WARSAW"": 16, ""NY"": 17}}",1,"[{""sku"": ""BET-0037-0"", ""color"": ""Brown"", ""size"": ""S"", ""stock"": 60}, {""sku"": ""BET-0037-1"", ""color"": ""Blue"", ""size"": ""XS"", ""stock"": 34}, {""sku"": ""BET-0037-2"", ""color"": ""Brown"", ""size"": ""M"", ""stock"": 28}]","[""sneakers"", ""Sneakers"", ""SNEAKERS"", ""casual""]",3.68,"[""https://beta-fashion.com/images/product-37-1.jpg"", ""https://beta-fashion.com/images/product-37-2.jpg""]",0
"[""Clothing"", ""Women"", ""Sweaters""]","[{""country"": ""DE"", ""currency"": ""PLN"", ""amount"": 74.28, ""vat_rate"": 0}]","{""total"": 260, ""reserved"": 2, ""warehouses"": {""WARSAW"": 130, ""NY"": 130}}",0,"[{""sku"": ""BET-0038-0"", ""color"": ""Black"", ""size"": ""M"", ""stock"": 29}, {""sku"": ""BET-0038-1"", ""color"": ""White"", ""size"": ""XXL"", ""stock"": 6}, {""sku"": ""BET-0038-2"", ""color"": ""Black"", ""size"": ""S"", ""stock"": 26}]","[""sweaters"", ""Sweaters"", ""SWEATERS"", ""sale""]",3.48,"[""https://beta-fashion.com/images/product-38-1.jpg"", ""https://beta-fashion.com/images/product-38-2.jpg""]",1
"[""Clothing"", ""Kids"", ""T-Shirts""]","[{""country"": ""US"", ""currency"": ""EUR"", ""amount"": 237.72, ""vat_rate"": 19}]","{""total"": 378, ""reserved"": 32, ""warehouses"": {""WARSAW"": 189, ""NY"": 189}}",0,"[{""sku"": ""BET-0039-0"", ""color"": ""Blue"", ""size"": ""XL"", ""stock"": 78}, {""sku"": ""BET-0039-1"", ""color"": ""White"", ""size"": ""S"", ""stock"": 40}]","[""t-shirts"", ""T-shirts"", ""T-SHIRTS"", ""sale""]",4.86,"[""https://beta-fashion.com/images/product-39-1.jpg"", ""https://beta-fashion.com/images/product-39-2.jpg""]",0
"[""Clothing"", ""Women"", ""Sweaters""]","[{""country"": ""FR"", ""currency"": ""EUR"", ""amount"": 61.61, ""vat_rate"": 23}]","{""total"": 373, ""reserved"": 80, ""warehouses"": {""WARSAW"": 186, ""NY"": 187}}",0,"[{""sku"": ""BET-0040-0"", ""color"": ""White"", ""size"": ""XXL"", ""stock"": 99}]","[""sweaters"", ""Sweaters"", ""SWEATERS"", ""fashion""]",4.59,"[""https://beta-fashion.com/images/product-40-1.jpg"", ""https://beta-fashion.com/images/product-40-2.jpg""]",0
"[""Clothing"", ""Men"", ""Hoodies""]","[{""country"": ""DE"", ""currency"": ""EUR"", ""amount"": 115.67, ""vat_rate"": 19}]","{""total"": 55, ""reserved"": 8, ""warehouses"": {""WARSAW"": 27, ""NY"": 28}}",1,"[{""sku"": ""BET-0041-0"", ""color"": ""Green"", ""size"": ""XS"", ""stock"": 54}, {""sku"": ""BET-0041-1"", ""color"": ""Navy"", ""size"": ""XS"", ""stock"": 56}, {""sku"": ""BET-0041-2"", ""color"": ""Green"", ""size"": ""XXL"", ""stock"": 59}]","[""hoodies"", ""Hoodies"", ""HOODIES"", ""new""]",3.35,"[""https://beta-fashion.com/images/product-41-1.jpg"", ""https://beta-fashion.com/images/product-41-2.jpg""]",0
"[""Clothing"", ""Unisex"", ""Sneakers""]","[{""country"": ""DE"", ""currency"": ""EUR"", ""amount"": 204.93, ""vat_rate"": 23}]","{""total"": 416, ""reserved"": 61, ""warehouses"": {""WARSAW"": 208, ""NY"": 208}}",1,"[{""sku"": ""BET-0042-0"", ""color"": ""Brown"", ""size"": ""XXL"", ""stock"": 76}, {""sku"": ""BET-0042-1"", ""color"": ""Red"", ""size"": ""M"", ""stock"": 32}]","[""sneakers"", ""Sneakers"", ""SNEAKERS"", ""sale""]",4.76,"[""https://beta-fashion.com/images/product-42-1.jpg"", ""https://beta-fashion.com/images/product-42-2.jpg""]",0
